User;Role;h-index;Followers/Following;log_followers;Ratio RT_in;Ratio_RT_out;Ratio Reply_out;Frequency;Ratio multimedia;Ratio URL;Ratio HT
MujeresTech;Retuiteador;6;4,487038058;3;1,674418605;0,986830015;0,000612557;27,43697479;0,033996937;0,098315467;0,745482389
NievesGalvez;Retuiteador;4;4,208333333;2;0,212454212;0,828409805;0,143306097;19,1686747;0,104336895;0,260213702;0,221873036
BytesAndHumans;Networker;19;4,168629882;3;1,053786575;0,279156328;0,496898263;4;0,087468983;0,24751861;0,087779156
sailormerqury;Altavoz bajo;37;4,128109453;4;3,839128419;0,337734111;0,371200491;6,299806576;0,06693276;0,318084126;0,17009518
delawen;Retuiteador;11;4,115044248;3;1,176470588;0,826727067;0,109852775;6,421818182;0,19592299;0,190826727;0,176670442
alenanik11;Replicador;12;3,965635739;3;0,56626506;0,17;0,602142857;6,167400881;0,205714286;0,314285714;0,062857143
subidubi;Networker;15;3,689203926;3;0,703088981;0,327233251;0,476116625;2,546603476;0,104218362;0,356079404;0,086228288
ana_eav;Monologista;10;3,566233766;3;0,285189718;0,244451295;0,490443896;3,741637832;0,141491985;0,279593095;0,21054254
MConstantinFdez;Monologista;3;3,52173913;1;0,185676393;0,230612245;0,218367347;2,565445026;0,142857143;0,363265306;0,746938776
almu_hs;Retuiteador;1;3,478378378;3;0,076923077;0,974942174;0,021973786;76,29411765;0,087895143;0,225905937;0,400154202
tdelatorreh;Retuiteador;13;3,4425;3;0,961407491;0,701659329;0,137487301;4,218571429;0,166610227;0,183880799;0,135794108
ana_datagirl;Networker;16;3,4;3;0,785545024;0,215127092;0,27650341;2,776247849;0,168629882;0,44916305;0,306261624
ggarciapaola;Networker;13;3,201277955;3;1,854211663;0,42125;0,295;3,448275862;0,0975;0,413125;0,41625
carmenreciov;Retuiteador;9;3,183884298;3;1,304347826;0,826967593;0,065393519;3,069271758;0,096064815;0,234375;0,603587963
AnaWhitewolf;Networker;12;3,181628392;3;0,565615463;0,396191646;0,36455774;11,34494774;0,317260442;0,346437346;0,18458231
karmel;Networker;7;3,149292149;3;0,614349776;0,256666667;0,453333333;4,379562044;0,07;0,436666667;0,103333333
cataflu;Networker;8;3,115662651;3;0,392755682;0,348751156;0,33533765;1,798668885;0,123959297;0,276595745;0,271970398
e_paniagua;Networker;8;3,099565532;3;1,962962963;0,595;0,25;3,703703704;0,01;0,325;0,275
luzrello;Altavoz medio;27;2,986482031;3;12,38213132;0,714065866;0,204370576;4,537709497;0,073561096;0,202523853;0,526008002
Adalab_Digital;Networker;20;2,964477933;3;1,91787234;0,279141104;0,094478528;4,865671642;0,074846626;0,668404908;0,621165644
EvaProkop;Retuiteador;1;2,879807692;3;0,049261084;0,873125;0,0075;38,0952381;0,03875;0,83875;1,126875
womenteck;Retuiteador;1;2,830227743;3;0,466666667;0,925;0;3,448275862;0,06;0,125;0,665
CristinaGrim;Networker;12;2,771263419;3;0,5;0,353816915;0,321191004;2,740451389;0,184985746;0,34273044;0,433639531
elenagbg;Networker;11;2,765133172;3;1,22815325;0,281472317;0,075162388;3,699084668;0,111970306;0,619239097;0,512836375
quierodata;Networker;13;2,701149425;3;1,230706742;0,558464849;0,216284075;2,883143744;0,262195122;0,24713056;0,567431851
AnaOrdaz_;Altavoz bajo;36;2,591919192;3;7,213830755;0,389105058;0,219566426;4,875338753;0,102279044;0,400222346;0,071150639
PeleteiroAna;Networker;8;2,590909091;2;0,956395349;0,567295597;0,108176101;1,815068493;0,186163522;0,31572327;0,788679245
Jimena_y_yo;Networker;11;2,556149733;2;0,5696;0,103942652;0,536917563;4,240121581;0,147670251;0,338351254;0,093189964
TomasaRodrigo;Networker;5;2,431034483;2;1,330188679;0,461928934;0,055837563;1,377622378;0,030456853;0,593908629;0,467005076
pherediagil;Retuiteador;16;2,427098675;3;2,662597114;0,72336506;0,14891004;3,399791232;0,07890697;0,250537304;0,676082284
WIDSMadrid;Networker;8;2,407079646;2;3,835820896;0,412280702;0,157894737;4,75;0,096491228;0,51754386;0,745614035
marga_tf;Replicador;26;2,402862986;3;1,670559312;0,185685686;0,632632633;3,375;0,08008008;0,295295295;0,084084084
RocioBerenguel;Networker;1;2,296296296;1;0,321428571;0,222222222;0,361111111;1,161290323;0,111111111;0,222222222;0,25
rlaina;Networker;7;2,263157895;2;0,325021496;0,315882353;0,240588235;3,052064632;0,004117647;0,187647059;0,498823529
cris_aranda_;Retuiteador;12;2,236254582;3;1,356540084;0,854690374;0,026057633;16,47474747;0,086450031;0,22685469;0,575107296
LaMuy;Normal;7;2,145520456;3;0,343425606;0,472387038;0,287539936;28,82894737;0,292104062;0,161570059;0,099497946
Pauli_Amat;Retuiteador;4;2,1;2;2,1;0,607843137;0,039215686;1,378378378;0,215686275;0,352941176;0,549019608
meri_minimeri;Replicador;6;2,094883721;3;0,129179866;0,125307882;0,682573892;14,89908257;0,126847291;0,243842365;0,015086207
trebool;Retuiteador;3;2,094512195;3;0,532110092;0,7275;0,04;2,272727273;0,14;0,33;0,465
