DATAFLOW,LAST UPDATE,freq,age,sex,indic_il,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,CY,2015,13618,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,CY,2016,13854,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,CY,2017,14180,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,CY,2018,15199,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,CY,2019,16144,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,CY,2020,16403,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,CZ,2010,6900,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,CZ,2011,7274,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,CZ,2012,7581,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,CZ,2013,7493,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,CZ,2014,7419,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,CZ,2015,7203,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,CZ,2016,7624,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,CZ,2017,8106,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,CZ,2018,8802,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,CZ,2019,9668,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,CZ,2020,10299,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,DE,2010,18448,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,DE,2011,18700,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,DE,2012,19137,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,DE,2013,19067,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,DE,2014,19319,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,DE,2015,20238,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,DE,2016,20744,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,DE,2017,21316,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,DE,2018,22081,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,DE,2019,22979,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,DE,2020,25538,b
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,DK,2010,25075,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,DK,2011,26459,b
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,DK,2012,26678,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,DK,2013,26984,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,DK,2014,27399,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,DK,2015,27756,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,DK,2016,27941,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,DK,2017,29250,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,DK,2018,29611,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,DK,2019,30366,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,DK,2020,30182,b
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,EE,2010,5563,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,EE,2011,5415,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,EE,2012,5707,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,EE,2013,6339,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,EE,2014,6929,b
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,EE,2015,7646,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,EE,2016,8321,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,EE,2017,9089,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,EE,2018,10171,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,EE,2019,11042,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,EE,2020,11948,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,EL,2010,11690,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,EL,2011,10760,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,EL,2012,9368,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,EL,2013,8074,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,EL,2014,7638,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,EL,2015,7480,
ESTAT:ILC_DI03(1.0),13/05/22 23:00:00,A,TOTAL,F,MED_E,EUR,EL,2016,7422,
