close,date
867307595136159745,Wed May 24 09:13:39 +0000 2017
1219313868670935040,Mon Jan 20 17:41:15 +0000 2020
1198330611578155010,Sat Nov 23 20:02:21 +0000 2019
840747815127130117,Sun Mar 12 02:14:34 +0000 2017
1232423377,Sat Mar 02 01:43:40 +0000 2013
1224395074181771266,Mon Feb 03 18:11:55 +0000 2020
2375354936,Thu Mar 06 13:18:28 +0000 2014
1211679719373950976,Mon Dec 30 16:05:43 +0000 2019
1224415052549193728,Mon Feb 03 19:31:25 +0000 2020
1213123601118855170,Fri Jan 03 15:43:20 +0000 2020
137727876,Tue Apr 27 15:33:48 +0000 2010
238330694,Fri Jan 14 22:47:46 +0000 2011
208699010,Wed Oct 27 19:25:55 +0000 2010
275899340,Sat Apr 02 06:59:05 +0000 2011
1179562198299009024,Thu Oct 03 01:02:26 +0000 2019
986329566619881472,Tue Apr 17 19:44:28 +0000 2018
996198391813214209,Tue May 15 01:19:39 +0000 2018
132666134,Tue Apr 13 21:31:59 +0000 2010
109655228,Fri Jan 29 20:22:00 +0000 2010
1180252312578805760,Fri Oct 04 22:44:25 +0000 2019
172732710,Fri Jul 30 13:19:47 +0000 2010
1213286508485988352,Sat Jan 04 02:30:28 +0000 2020
105814462,Sun Jan 17 15:37:05 +0000 2010
81487904,Sun Oct 11 01:41:56 +0000 2009
230311530,Sat Dec 25 00:22:59 +0000 2010
99532337,Sat Dec 26 16:28:19 +0000 2009
151079667,Wed Jun 02 15:10:26 +0000 2010
1125657642746118144,Tue May 07 07:04:30 +0000 2019
127051203,Sat Mar 27 22:06:06 +0000 2010
2979138389,Thu Jan 15 00:35:16 +0000 2015
400449143,Sat Oct 29 02:01:00 +0000 2011
75163051,Fri Sep 18 01:03:37 +0000 2009
1162346136088305664,Fri Aug 16 12:55:39 +0000 2019
272183153,Sat Mar 26 00:36:45 +0000 2011
917001723381800960,Sun Oct 08 12:20:22 +0000 2017
403558875,Wed Nov 02 17:29:47 +0000 2011
3150590389,Sat Apr 11 23:04:10 +0000 2015
507781663,Tue Feb 28 19:06:48 +0000 2012
231531958,Tue Dec 28 19:56:30 +0000 2010
1042004098575462400,Tue Sep 18 10:55:11 +0000 2018
157985940,Mon Jun 21 12:45:09 +0000 2010
155345095,Sun Jun 13 22:01:55 +0000 2010
743589812704260096,Thu Jun 16 23:43:21 +0000 2016
253835387,Fri Feb 18 02:06:53 +0000 2011
391767765,Sun Oct 16 02:33:47 +0000 2011
2604133122,Fri Jul 04 21:33:12 +0000 2014
1204451508227575808,Tue Dec 10 17:23:27 +0000 2019
313610200,Wed Jun 08 22:54:15 +0000 2011
334423381,Wed Jul 13 02:24:49 +0000 2011
76790290,Wed Sep 23 23:23:22 +0000 2009
780466172521246720,Mon Sep 26 17:56:50 +0000 2016
1354901396,Mon Apr 15 17:35:48 +0000 2013
81882771,Mon Oct 12 16:51:47 +0000 2009
1160341016567779330,Sun Aug 11 00:03:51 +0000 2019
148215403,Wed May 26 03:59:56 +0000 2010
58656325,Tue Jul 21 01:18:49 +0000 2009
1207083614091055104,Tue Dec 17 23:42:36 +0000 2019
1097065452692520960,Sun Feb 17 09:29:21 +0000 2019
249402770,Wed Feb 09 00:00:35 +0000 2011
712440398,Mon Jul 23 13:39:34 +0000 2012
709780116646326273,Tue Mar 15 16:35:41 +0000 2016
1583242478,Wed Jul 10 14:24:54 +0000 2013
1869455318,Sun Sep 15 22:43:52 +0000 2013
1409414106,Tue May 07 04:59:48 +0000 2013
42679506,Tue May 26 18:04:02 +0000 2009
877320340250050564,Wed Jun 21 00:20:43 +0000 2017
1003297249798033408,Sun Jun 03 15:27:59 +0000 2018
204351530,Mon Oct 18 14:18:00 +0000 2010
142829712,Tue May 11 21:51:55 +0000 2010
785663720,Mon Aug 27 22:58:45 +0000 2012
189239680,Fri Sep 10 19:01:42 +0000 2010
64534703,Mon Aug 10 22:25:22 +0000 2009
264471663,Fri Mar 11 23:47:19 +0000 2011
1068299707288625158,Fri Nov 30 00:24:33 +0000 2018
2167069476,Thu Oct 31 18:41:34 +0000 2013
322382629,Thu Jun 23 02:44:53 +0000 2011
37719661,Mon May 04 18:23:49 +0000 2009
2315936742,Tue Jan 28 19:00:01 +0000 2014
935570858,Thu Nov 08 22:21:38 +0000 2012
2753109798,Thu Aug 21 21:26:22 +0000 2014
123360879,Mon Mar 15 21:17:28 +0000 2010
164904593,Sat Jul 10 02:05:09 +0000 2010
1203164065587253249,Sat Dec 07 04:07:32 +0000 2019
150933521,Wed Jun 02 05:26:52 +0000 2010
2530714328,Wed May 28 19:40:48 +0000 2014
198396803,Mon Oct 04 05:24:47 +0000 2010
133119072,Thu Apr 15 02:13:22 +0000 2010
706308440684171264,Sun Mar 06 02:40:29 +0000 2016
1163919139553124353,Tue Aug 20 21:02:53 +0000 2019
1099139491586105344,Sat Feb 23 02:50:50 +0000 2019
1074099803225812992,Sun Dec 16 00:32:03 +0000 2018
1163902246452637696,Tue Aug 20 19:55:15 +0000 2019
1033699395227799552,Sun Aug 26 12:55:15 +0000 2018
1204972766367272961,Thu Dec 12 03:54:40 +0000 2019
397812235,Tue Oct 25 05:46:07 +0000 2011
64931248,Wed Aug 12 04:03:48 +0000 2009
191657618,Fri Sep 17 00:39:08 +0000 2010
17397090,Fri Nov 14 22:15:18 +0000 2008
1198921345339416576,Mon Nov 25 11:08:28 +0000 2019
1149102669925101568,Wed Jul 10 23:46:40 +0000 2019
241622725,Sat Jan 22 18:39:14 +0000 2011
1204616689305997319,Wed Dec 11 04:19:44 +0000 2019
1196603669946519552,Tue Nov 19 01:38:56 +0000 2019
1198622332434239488,Sun Nov 24 15:20:25 +0000 2019
177051639,Wed Aug 11 03:34:17 +0000 2010
146075477,Thu May 20 14:54:25 +0000 2010
964050875936362496,Thu Feb 15 08:16:54 +0000 2018
568740443,Wed May 02 02:51:30 +0000 2012
700878784241643524,Sat Feb 20 03:04:58 +0000 2016
1070606507753005057,Thu Dec 06 09:10:57 +0000 2018
1175823141135892487,Sun Sep 22 17:24:37 +0000 2019
36145322,Tue Apr 28 18:47:01 +0000 2009
856691598570258432,Tue Apr 25 02:09:28 +0000 2017
1202299295715729408,Wed Dec 04 18:51:12 +0000 2019
91870046,Sun Nov 22 21:16:43 +0000 2009
1008138789867393024,Sun Jun 17 00:06:32 +0000 2018
488703329,Fri Feb 10 19:03:54 +0000 2012
1047885120525537281,Thu Oct 04 16:24:16 +0000 2018
