Advertiser Name,Funding Entity,Creative,Start date,End Date,Provincia,Targeted Segments,Excluded Targeting Segments,Impressions,Reach,Facts And Circumstances Of Removal,Enforcement Action,Statement Of Reason
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1730572715659076040,2023-12-04T00:00:00Z,2023-12-18T00:00:00Z,Illas Baleares,"Campos, ES,Porreres, ES,Santanyí, ES,Felanitx, ES","",1765,1190,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1699807236418056693,2023-09-07T00:00:00Z,2023-09-08T00:00:00Z,N/A,"Spain","",90138,82374,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1747296935097020535,2024-01-17T00:00:00Z,2024-01-18T00:00:00Z,Gerona,"Palamós, ES,Vilajuïga, ES,Albons, ES,Calonge, ES,Pals, ES,Figueres, ES,Palafrugell, ES,Ullastrell, ES,Castell-Platja d'Aro, ES,la Bisbal d'Empordà / La Bisbal d'Empordà, ES,Vilamalla, ES,Roses, ES,Begur, ES,Fortià, ES","",210,210,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1719993254362407363,2023-11-02T00:00:00Z,2023-11-09T00:00:00Z,Gerona,"Torelló, ES,Ripoll, ES,Cardona, ES,Solsona, ES,Berga, ES,Súria, ES","",12741,4462,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1706941753637413190,2023-09-27T00:00:00Z,2023-09-29T00:00:00Z,N/A,"Female,Spain","",270588,221561,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1755509271671005652,2024-02-08T00:00:00Z,2024-02-09T00:00:00Z,N/A,"Spain","",600625,291559,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1746917658472464546,2024-01-15T00:00:00Z,2024-01-16T00:00:00Z,N/A,"Spain","",222919,226159,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1723981529842348300,2023-11-13T00:00:00Z,2023-11-14T00:00:00Z,N/A,"Spain","",490554,236691,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1701906067595071685,2023-09-13T00:00:00Z,2023-09-14T00:00:00Z,N/A,"Spain","",239810,215413,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1726518242167136467,2023-11-20T00:00:00Z,2023-11-22T00:00:00Z,N/A,"Spain,perfumes","",834832,350652,N/A,N/A,N/A
